year,stage,count,sim
2010,second,8.543286861288915e-5,54
2011,second,1.2880067647676417e-5,54
2012,second,3.3564315180400604e-6,54
2013,second,8.878413080682353e-6,54
2014,second,1.5866959012344404e-5,54
2015,second,1.9661035593663007e-6,54
2016,second,1.2252014104508125e-6,54
2017,second,9.973220023093156e-7,54
1986,third,21.70885946465936,54
1987,third,139.68547492487335,54
1988,third,113.0914329958268,54
1989,third,160.95113794518593,54
1990,third,305.0388328003973,54
1991,third,20.307359274089205,54
1992,third,42.71891400586223,54
1993,third,4.8773490560428305,54
1994,third,28.163004856558164,54
1995,third,1.564946610235926,54
1996,third,0.5387090505788595,54
1997,third,0.38013564274644723,54
1998,third,1.7971399796700775,54
1999,third,0.979421901660149,54
2000,third,0.3960784811689777,54
2001,third,0.0629066192941551,54
2002,third,0.037696960763088184,54
2003,third,0.15595492277696857,54
2004,third,0.05846995120723043,54
2005,third,0.004801434932166517,54
2006,third,0.0038502867144293617,54
2007,third,8.386328014021533e-4,54
2008,third,2.4044267642607647e-4,54
2009,third,8.944805540454135e-5,54
2010,third,3.3447152644058506e-5,54
2011,third,3.567982864901891e-5,54
2012,third,1.9244176393150436e-5,54
2013,third,5.982325557496458e-6,54
2014,third,7.486823892826104e-7,54
2015,third,9.8418246298151e-6,54
2016,third,1.1420723969574334e-6,54
2017,third,1.25392609883379e-6,54
1986,adult,60.85770150735294,54
1987,adult,13.2940078743768,54
1988,adult,6.783614334182463,54
1989,adult,3.142418659451933,54
1990,adult,1.6857042892623306,54
1991,adult,1.898966434356536,54
1992,adult,0.8919237483287998,54
1993,adult,0.2283837663356656,54
1994,adult,0.1516981012424882,54
1995,adult,0.08267968244189028,54
1996,adult,0.10845741671524466,54
1997,adult,0.0057643834170636385,54
1998,adult,0.013462531151118711,54
1999,adult,0.005741284561597456,54
2000,adult,0.0014919488546161763,54
2001,adult,6.262796415448169e-4,54
2002,adult,1.8319913616104248e-4,54
2003,adult,4.918518231793091e-4,54
2004,adult,9.968827841581105e-5,54
2005,adult,1.957338757241691e-4,54
2006,adult,2.6911422752527893e-4,54
2007,adult,3.251672539204022e-5,54
2008,adult,9.319905972469044e-5,54
2009,adult,1.0739177652787261e-5,54
2010,adult,1.948024759616352e-6,54
2011,adult,2.6318491356085766e-6,54
2012,adult,9.179113695147113e-7,54
2013,adult,1.442998714939474e-6,54
2014,adult,1.6421242604439093e-6,54
2015,adult,7.629204829254001e-7,54
2016,adult,3.117637738706963e-7,54
2017,adult,5.695923897035642e-7,54
1986,first,110.90270270919025,55
1987,first,191.4155496709457,55
1988,first,341.8922371572548,55
1989,first,273.8362390859538,55
1990,first,618.8885261788395,55
1991,first,3832.3721456562057,55
1992,first,14059.74528742128,55
1993,first,288.069836285419,55
1994,first,441.9051967195752,55
1995,first,4407.08185591253,55
1996,first,21101.225820917436,55
1997,first,194529.57158221203,55
1998,first,33963.9432814327,55
1999,first,56465.539956955756,55
2000,first,62082.307504965815,55
2001,first,8887.337266573202,55
2002,first,10451.661603687622,55
2003,first,19448.247853163328,55
2004,first,7293.721370328611,55
2005,first,21568.176205765492,55
2006,first,47214.28074682205,55
2007,first,266971.2265307841,55
2008,first,49037.13861691199,55
2009,first,65033.91782508671,55
2010,first,40114.15793788172,55
2011,first,127367.45512808501,55
2012,first,10014.380335149179,55
2013,first,13113.605207955761,55
2014,first,8352.023181320088,55
2015,first,6627.0374145405085,55
2016,first,7819.5650732885315,55
2017,first,5663.586415788115,55
1986,second,48.183225462339855,55
1987,second,156.25780183678916,55
1988,second,78.1213737305798,55
1989,second,327.26207249700826,55
1990,second,270.3783927127818,55
1991,second,396.34636555348,55
1992,second,8110.611648447504,55
1993,second,4975.72559912796,55
1994,second,111.02293569578914,55
1995,second,897.0425215164365,55
1996,second,26055.984635761397,55
1997,second,40835.97518387925,55
1998,second,190361.1688030161,55
1999,second,20810.44736476596,55
2000,second,20012.644045567606,55
2001,second,52998.202259914055,55
2002,second,53048.001847237836,55
2003,second,2654.2353964756585,55
2004,second,15423.225898498564,55
2005,second,30182.216039723855,55
2006,second,19335.805425651713,55
2007,second,19868.7850806413,55
2008,second,40696.68915239123,55
2009,second,51050.58601255405,55
2010,second,30602.153505594066,55
2011,second,41099.15088426032,55
2012,second,83924.1372623748,55
2013,second,8942.571707895037,55
2014,second,9812.87681921991,55
2015,second,2187.5750216599877,55
2016,second,25617.599082020002,55
2017,second,3161.5396437018526,55
1986,third,16.208920448898468,55
1987,third,48.63672782532597,55
1988,third,56.77017039338182,55
1989,third,231.37210352878463,55
1990,third,135.59702670647195,55
1991,third,281.7936109350244,55
1992,third,119.85654947150766,55
1993,third,2183.774191552914,55
1994,third,6195.042712381453,55
1995,third,424.0896200270163,55
1996,third,589.3099784871233,55
