name,stage,time,middle,lower16,upper84
n_pred,2,30,3.4482733188544943,3.242388119455376,3.6562432566282546
n_pred,2,31,3.4503144118748565,3.2384609400626667,3.6677239819222276
n_pred,2,32,3.428052210329887,3.214066668201487,3.6534989969318055
n_pred,3,1,3.0558696074053486,2.4799968743760155,3.601099823734305
n_pred,3,2,3.1436580950041417,2.5911083410706723,3.6200971792625665
n_pred,3,3,4.246589560857091,3.806820856475075,4.654531374519686
n_pred,3,4,3.742544602316327,3.3392288943019075,4.109036724991123
n_pred,3,5,3.3782875671502026,3.0719978368949428,3.6794155706843936
n_pred,3,6,3.241248412534057,2.967255961202416,3.5174997764985374
n_pred,3,7,3.8730968332317253,3.5838943704704374,4.167917298066191
n_pred,3,8,3.757357533290408,3.529154001817436,3.9888498069681937
n_pred,3,9,3.4994976070979082,3.270557220360293,3.7128740701610896
n_pred,3,10,3.320109904727432,3.091627815717006,3.5320090641785518
n_pred,3,11,3.631273116265013,3.430477893609197,3.85338899784354
n_pred,3,12,3.6475006412680364,3.4587423372070467,3.8465532038379937
n_pred,3,13,3.495128752835084,3.308981590282094,3.6679895316008833
n_pred,3,14,3.338308704651738,3.1365192069151493,3.516766744753679
n_pred,3,15,3.4847800536155162,3.3230613085016927,3.6557318751740673
n_pred,3,16,3.5261267923202264,3.3561481464454754,3.7018598236723808
n_pred,3,17,3.4367115560210446,3.272593804039777,3.595072182314382
n_pred,3,18,3.3137706846200494,3.1308948276712316,3.478716909051492
n_pred,3,19,3.373472432905631,3.221747771438049,3.5275383282228763
n_pred,3,20,3.411242102086392,3.2486575724209428,3.583682592538724
n_pred,3,21,3.3589976184870762,3.196789069431471,3.5194599061785863
n_pred,3,22,3.2633926075215918,3.0882420221309435,3.4340166996677417
n_pred,3,23,3.279242609008754,3.1157519303662324,3.4428364114210726
n_pred,3,24,3.3034453169241225,3.1364695901407327,3.482877353056855
n_pred,3,25,3.2691700666432046,3.0999949700996288,3.449428106318568
n_pred,3,26,3.1957692390917125,3.017147533438927,3.3830951109407024
n_pred,3,27,3.19045176194303,3.0128075407507757,3.376209907011156
n_pred,3,28,3.2032233864170285,3.0151925937520323,3.4028927574555614
n_pred,3,29,3.181428157892084,2.9859490959749913,3.381954827231171
n_pred,3,30,3.120701395327966,2.9207855872174986,3.3324652786371325
n_pred,3,31,3.1050291427783976,2.898202298009954,3.320446167469878
n_pred,3,32,3.109055008205018,2.890905408985428,3.338527688174834
n_pred,4,1,3.3033757164767055,2.92658206380575,3.653093630857384
n_pred,4,2,2.9414648305436177,2.6246384464283867,3.2602308327324017
n_pred,4,3,2.810015233561139,2.5060958536137607,3.121335413861801
n_pred,4,4,3.445847435948722,3.117443829470019,3.7670247759529523
n_pred,4,5,3.3299954069901823,3.094562903573378,3.5645826293994087
n_pred,4,6,3.0688992470146275,2.824786919055228,3.2992210606696433
n_pred,4,7,2.8850033956281287,2.63694907217706,3.1267491557506943
n_pred,4,8,3.208149315625442,2.9750668696876934,3.4523511355386183
n_pred,4,9,3.2223884319223215,3.020495882149592,3.426840937579753
n_pred,4,10,3.0668571592087117,2.862667028811951,3.250273929590374
n_pred,4,11,2.905490655399703,2.689346816913018,3.1126492218948996
n_pred,4,12,3.0544034171503087,2.8692722334907486,3.252161460388172
n_pred,4,13,3.0955588626138315,2.917765474709419,3.283385782076108
n_pred,4,14,3.0103032498274693,2.829703418727436,3.1765744414041457
n_pred,4,15,2.881465868418479,2.690300251556056,3.0687916460022024
n_pred,4,16,2.9447476819368053,2.7705607359427007,3.1209798931447597
n_pred,4,17,2.982547654806746,2.8102620182575233,3.162260383332509
n_pred,4,18,2.9305985787969155,2.7611900648320344,3.0945172683776843
n_pred,4,19,2.8368067422997045,2.6518096610435964,3.01192246867114
n_pred,4,20,2.8507885119525116,2.677235153703014,3.0263100180616953
n_pred,4,21,2.8780252310011902,2.7003340630835675,3.0578415058000656
n_pred,4,22,2.8440108806315876,2.667552775984959,3.018046087154773
n_pred,4,23,2.772786081143715,2.580117884767586,2.95082963725389
n_pred,4,24,2.7682468125663853,2.5769791608215287,2.9475128133436357
n_pred,4,25,2.7798126332413897,2.584616056222245,2.969921955572434
