year,name,lower16,middle,upper84,type
1993,s_s32,0.2967262913964077,0.35018486580655983,0.42627926651060033,sensitivity
1993,s_s43,0.5593803798526054,0.7209979111377889,0.9631007194246666,sensitivity
1993,s_s44,0.29579364227856136,0.3214985200852828,0.3623644996584691,sensitivity
1994,e_rec,0.20886322458903234,0.22326236297712393,0.23338390101566844,elasticity
1994,e_s21,0.20886322458903206,0.22326236297712407,0.2333839010156687,elasticity
1994,e_s32,0.20886322458903211,0.22326236297712415,0.23338390101566867,elasticity
1994,e_s43,0.20886322458903267,0.22326236297712398,0.23338390101566864,elasticity
1994,e_s44,0.06874288315713535,0.10695054809150381,0.1709750767968381,elasticity
1994,lambda,0.9807777879070186,1.0468323718756194,1.1332658200369927,lambda
1994,s_rec,0.05334040583186937,0.07562960143136147,0.10545385289646375,sensitivity
1994,s_s21,0.2108102034100772,0.23252923232896328,0.2556886866696315,sensitivity
1994,s_s32,0.26959675106567565,0.31328375590795665,0.3813845447228322,sensitivity
1994,s_s43,0.5104538897261638,0.6468994542879671,0.8656843772703156,sensitivity
1994,s_s44,0.3015571623678515,0.3302129110686278,0.3782313075976288,sensitivity
1995,e_rec,0.20253628654495023,0.21897407794649618,0.23118581411412154,elasticity
1995,e_s21,0.20253628654495037,0.21897407794649612,0.2311858141141213,elasticity
1995,e_s32,0.20253628654495026,0.21897407794649595,0.23118581411412154,elasticity
1995,e_s43,0.20253628654495023,0.21897407794649598,0.23118581411412154,elasticity
1995,e_s44,0.07775713746901312,0.1241036882140158,0.19818238841550007,elasticity
1995,lambda,0.8920968902734585,0.955354432467057,1.0210513274955797,lambda
1995,s_rec,0.07602901589269445,0.10508587087346635,0.1429147082406104,sensitivity
1995,s_s21,0.18408228918055286,0.20644552745311684,0.23003923139003585,sensitivity
1995,s_s32,0.23726446215828195,0.2791090714844852,0.34313561884757926,sensitivity
1995,s_s43,0.4572031434430286,0.5705655651708306,0.750836110153916,sensitivity
1995,s_s44,0.3083178531017597,0.3430777661605119,0.3986367913116251,sensitivity
1996,e_rec,0.19205483694575542,0.21334799646180883,0.22861535164147756,elasticity
1996,e_s21,0.19205483694575548,0.21334799646180896,0.22861535164147756,elasticity
1996,e_s32,0.1920548369457555,0.2133479964618092,0.22861535164147745,elasticity
1996,e_s43,0.1920548369457554,0.21334799646180932,0.22861535164147764,elasticity
1996,e_s44,0.08854485817828699,0.14660801415276375,0.2395171290150433,elasticity
1996,lambda,0.7886236381484244,0.861423722831568,0.9315674431256227,lambda
1996,s_rec,0.10753940276598074,0.14847525335261316,0.21385205846871574,sensitivity
1996,s_s21,0.15664920378927222,0.1800823031815701,0.2072273399527528,sensitivity
1996,s_s32,0.20579415769366843,0.2435922180844815,0.2990649005762715,sensitivity
1996,s_s43,0.40359639460826907,0.5060372769968652,0.6474898001748949,sensitivity
1996,s_s44,0.3164086436337155,0.35995601061457283,0.42963784676128236,sensitivity
1997,e_rec,0.18949362983476523,0.20990191551062767,0.22717052771050744,elasticity
1997,e_s21,0.18949362983476514,0.2099019155106279,0.22717052771050783,elasticity
1997,e_s32,0.18949362983476517,0.2099019155106277,0.22717052771050758,elasticity
1997,e_s43,0.18949362983476495,0.20990191551062773,0.22717052771050777,elasticity
1997,e_s44,0.09529174728270567,0.1603923379574887,0.25282440866638706,elasticity
1997,lambda,0.7451316214573016,0.8122888075114487,0.894826913733575,lambda
1997,s_rec,0.12592068017801059,0.17953240196949302,0.2614157044483845,sensitivity
1997,s_s21,0.14594574261763335,0.16934960910924263,0.19324163813870288,sensitivity
1997,s_s32,0.18976930273224024,0.22803505884400638,0.2807000952511633,sensitivity
1997,s_s43,0.3720367710575398,0.4702149990797041,0.6087785736824133,sensitivity
1997,s_s44,0.3214688104620294,0.3702942534681166,0.4396183064997903,sensitivity
1998,e_rec,0.18630573301677505,0.20981041271500944,0.2264266380275582,elasticity
1998,e_s21,0.18630573301677494,0.20981041271500925,0.22642663802755825,elasticity
