year,stage,count,sim
1987,adult,51.16203970564704,17
1988,adult,19.963979821278635,17
1989,adult,49.22539353477269,17
1990,adult,19.492240458582273,17
1991,adult,7.7231940803232,17
1992,adult,18.715789237752862,17
1993,adult,13.951874599127137,17
1994,adult,13.798498492492852,17
1995,adult,15.383524608033369,17
1996,adult,16.73201399530036,17
1997,adult,10.084125671196274,17
1998,adult,6.6753779219258185,17
1999,adult,12.129976738244252,17
2000,adult,35.93833601110329,17
2001,adult,13.52453429843222,17
2002,adult,5.02660198670902,17
2003,adult,3.680896997121974,17
2004,adult,3.7731631435620034,17
2005,adult,2.803571393586325,17
2006,adult,3.9842797533154446,17
2007,adult,14.736322466110233,17
2008,adult,23.95039155426153,17
2009,adult,13.49718131649007,17
2010,adult,12.661154599481714,17
2011,adult,11.109303066837908,17
2012,adult,17.62477021936464,17
2013,adult,24.26873024285742,17
2014,adult,23.1978866544753,17
2015,adult,16.817542801722134,17
2016,adult,42.452290054462104,17
2017,adult,47.855881309567906,17
1986,first,107.3878426745244,18
1987,first,13.544619995356022,18
1988,first,14.32000884682311,18
1989,first,37.41382904142434,18
1990,first,80.96730852617635,18
1991,first,331.2887704002588,18
1992,first,53.117234268144124,18
1993,first,49.73002247275277,18
1994,first,277.5852670484068,18
1995,first,174.2779979932739,18
1996,first,43.28614673002298,18
1997,first,31.96870923340669,18
1998,first,52.16543149531814,18
1999,first,30.063435643494316,18
2000,first,28.994297312993883,18
2001,first,5.998401016136395,18
2002,first,16.498905638639847,18
2003,first,17.25288127437085,18
2004,first,6.647055977096566,18
2005,first,17.39216409624755,18
2006,first,67.9664520599584,18
2007,first,6.973331336911093,18
2008,first,8.670142234159353,18
2009,first,8.766761893208871,18
2010,first,11.72088678002357,18
2011,first,10.942069969650714,18
2012,first,29.65929950590038,18
2013,first,33.163548205611065,18
2014,first,9.488713013304217,18
2015,first,23.517418264329713,18
2016,first,61.96104891318544,18
2017,first,29.704735871225324,18
1986,second,22.275378137354583,18
1987,second,72.55075645242268,18
1988,second,40.4749055800093,18
1989,second,16.237552997707184,18
1990,second,49.041856186274536,18
1991,second,53.36034880831399,18
1992,second,318.15472141703987,18
1993,second,259.94053171032965,18
1994,second,95.37691841311417,18
1995,second,973.2336918727015,18
1996,second,277.1469921407997,18
1997,second,98.1668554675209,18
1998,second,25.771322554577935,18
1999,second,35.08939773253848,18
2000,second,16.65493771370696,18
2001,second,27.665100613776826,18
2002,second,65.46100941346448,18
2003,second,114.38379214677815,18
2004,second,35.73840636579098,18
2005,second,17.55286615002387,18
2006,second,25.73555840669515,18
2007,second,16.356307888759094,18
2008,second,17.787682894017276,18
2009,second,16.424876531604564,18
2010,second,42.66184853857507,18
2011,second,70.44522520268241,18
2012,second,11.261453734137197,18
2013,second,16.893755397568036,18
2014,second,66.0853340805063,18
2015,second,49.64779485123411,18
