year,stage,count,sim
2002,adult,123.14515408186449,1
2003,adult,92.33361678567015,1
2004,adult,129.03520567962403,1
2005,adult,238.8634622023893,1
2006,adult,165.26313972790433,1
2007,adult,126.7748189370877,1
2008,adult,458.5770247894153,1
2009,adult,1225.5389699628663,1
2010,adult,552.8980527256208,1
2011,adult,353.97264028027166,1
2012,adult,180.9099852056036,1
2013,adult,328.0275392912857,1
2014,adult,453.07051979632826,1
2015,adult,496.8568487394611,1
2016,adult,1088.0193778494329,1
2017,adult,370.33124646837166,1
1986,first,80.25258684660845,2
1987,first,49.580019251119005,2
1988,first,92.43468893774093,2
1989,first,30.989680307047188,2
1990,first,152.5871541489832,2
1991,first,83.34261374613604,2
1992,first,206.38552469985115,2
1993,first,35.98639556995914,2
1994,first,106.55120119132106,2
1995,first,153.35070470254922,2
1996,first,153.7112558995717,2
1997,first,311.32162774612476,2
1998,first,384.46164017128353,2
1999,first,187.9890465156323,2
2000,first,312.72466658806985,2
2001,first,345.92954123445725,2
2002,first,491.46352808660833,2
2003,first,328.69790603583266,2
2004,first,453.4309953054527,2
2005,first,121.703289336367,2
2006,first,1389.6685339451894,2
2007,first,368.9540718803054,2
2008,first,571.1441116043248,2
2009,first,421.8222791382987,2
2010,first,839.7388441331797,2
2011,first,421.56054958014187,2
2012,first,2980.194874847483,2
2013,first,1348.1943790004739,2
2014,first,1360.0817244833295,2
2015,first,970.5170364472276,2
2016,first,2813.166240647445,2
2017,first,771.660085049653,2
1986,second,25.9357112038716,2
1987,second,54.29033094200974,2
1988,second,163.46009508014106,2
1989,second,360.36938198371786,2
1990,second,162.2857847352699,2
1991,second,78.2239532681535,2
1992,second,149.83280509795273,2
1993,second,92.6174981935691,2
1994,second,121.26005536555338,2
1995,second,27.554364915656798,2
1996,second,318.11243114824254,2
1997,second,257.25957400259836,2
1998,second,191.40623653154555,2
1999,second,325.16848844225024,2
2000,second,224.2119727764353,2
2001,second,500.6256066085231,2
2002,second,645.2339761884576,2
2003,second,76.54778299292376,2
2004,second,563.9363690990175,2
2005,second,248.6505227654336,2
2006,second,386.1376735540964,2
2007,second,1496.1300842600347,2
2008,second,562.6888060860243,2
2009,second,400.17138036276435,2
2010,second,446.0401020037859,2
2011,second,1245.8054835444364,2
2012,second,760.4828422673593,2
2013,second,379.0410107976987,2
2014,second,543.2030341047217,2
2015,second,1299.9797800397166,2
2016,second,534.6334581216607,2
2017,second,1157.0852137855456,2
1986,third,12.885996129205775,2
1987,third,54.0677121479933,2
1988,third,32.37685443181479,2
1989,third,49.3330737064049,2
1990,third,130.40626309419997,2
1991,third,25.151714848933533,2
1992,third,172.30435772942167,2
1993,third,110.03161291395315,2
1994,third,105.88153973035077,2
1995,third,108.37215428461973,2
1996,third,97.20461595898865,2
1997,third,208.0848536138088,2
1998,third,52.046845322336566,2
1999,third,75.45439988981542,2
2000,third,457.86132559407815,2
2001,third,404.39431049095526,2
2002,third,314.5648362543052,2
