name,lower16,middle,upper84,Rhat_max,div,sim
sig_rho,0.8278878488004345,1.0231457180729793,1.2453198619550783,1.0148519770991347,0.004,8
sig_obs,0.37912599515264717,0.41705603435592065,0.4587563942202068,0.9987976823898433,0,9
sig_obs_sd,0.630682518280019,0.693800990180713,0.762736884989797,0.9987976823898433,0,9
sig_phi,0.4438941331479868,0.8865945313795759,1.6581520470606115,0.9987976823898433,0,9
sig_rho,0.5754387985798312,0.7335596873376358,0.9122816949580232,0.9987976823898433,0,9
sig_obs,0.3947160181547813,0.45011042634153886,0.49468070543111514,1.0227930588908787,0.018,10
sig_obs_sd,0.49149703601557493,0.5604713214668671,0.6159682210468362,1.0227930588908787,0.018,10
sig_phi,0.22006019960704906,1.4598381530936344,4.844646424027472,1.0227930588908787,0.018,10
sig_rho,0.8752631254181236,0.9973071337836963,1.1763746576562015,1.0227930588908787,0.018,10
sig_obs,0.300178609905208,0.3227360315310587,0.3640563791851629,1.0011679656234798,0,11
sig_obs_sd,0.5912032538378115,0.6361699510523986,0.717020153968537,1.0011679656234798,0,11
sig_phi,0.30621548832721346,0.49077136213599715,0.7475405701388687,1.0011679656234798,0,11
sig_rho,0.5551666238665722,0.7500305482114662,0.9391894775061935,1.0011679656234798,0,11
sig_obs,0.3383756832901388,0.3806239863598475,0.42476372514219585,1.0168624728407616,0,12
sig_obs_sd,0.47868072571635245,0.5386274702954396,0.6004138827139884,1.0168624728407616,0,12
sig_phi,0.4128356480813021,0.6391289511345373,0.9967925411949626,1.0168624728407616,0,12
sig_rho,0.7374406081467819,0.911629905147747,1.0990341700473691,1.0168624728407616,0,12
sig_obs,0.44000290583928486,0.4889931456958947,0.5361776669350621,1.0068201921372644,0.004,13
sig_obs_sd,0.5420773157474104,0.6026210643194471,0.660719972413816,1.0068201921372644,0.004,13
sig_phi,0.24862412355016497,0.5246654780667859,0.824265733170951,1.0068201921372644,0.004,13
sig_rho,0.5865424390791135,0.7082631071416601,0.9261109410333345,1.0068201921372644,0.004,13
sig_obs,0.10952274305132781,0.11833569267754887,0.13614106188902653,1.009390618799342,0.002,14
sig_obs_sd,0.5622259868794824,0.6090862524852996,0.6979748512642153,1.009390618799342,0.002,14
sig_phi,0.636733605269665,0.8976751714037531,1.1089287185899994,1.009390618799342,0.002,14
sig_rho,0.7910974497810561,0.9994886450850304,1.2272215985188426,1.009390618799342,0.002,14
sig_obs,0.10206756112730686,0.11247424844402157,0.12471841796222949,1.0027032471790966,0,15
sig_obs_sd,0.505689873969528,0.5573447911626667,0.6162339448311801,1.0027032471790966,0,15
sig_phi,0.45166811058153344,0.8472168051533306,1.387581718131617,1.0027032471790966,0,15
sig_rho,0.6434321099115481,0.7996825330946026,0.9611826492208022,1.0027032471790966,0,15
